id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60
1416515088662045044,505497612,,,41.15889159634281,-8.60007737627725,5.0,2.0,3.0,1.0,14,1.0,2.0,14.0,14.0,1.6,14.0,,21,24
1416527067920243820,452918929,,,41.16362254666474,-8.612207987286107,2.0,1.0,1.0,1.0,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0,,20,50
1416538500548658953,513024566,8.0,8.0,41.15617,-8.59466,4.0,1.0,2.0,,365,,,1125.0,1125.0,,1125.0,,27,57
1416545021570448187,12730028,,,41.16261241932219,-8.586738765519534,2.0,1.0,1.0,1.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,22,45
1416558229622356957,520799626,7.0,7.0,41.13438114187788,,6.0,3.0,2.0,2.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,21,49
1416578547977179353,694398024,1.0,1.0,41.15102,-8.6043,2.0,0.0,1.0,,365,,,365.0,365.0,,365.0,,5,13
1416593453401436552,270027639,,,41.14850185473775,-8.614786512866562,2.0,0.0,2.0,1.0,1125,1.0,2.0,1.0,1125.0,2.0,42.2,,30,60
1416601367530329093,688612449,4.0,4.0,41.13846,-8.6083,2.0,1.0,1.0,1.0,1125,1.0,2.0,3.0,1125.0,1.5,207.2,,10,26
1416604856053744938,76223539,,,41.1424665,-8.5962078,2.0,1.0,1.0,2.0,180,2.0,,180.0,180.0,,180.0,,18,29
1416625351025327627,694411597,1.0,1.0,41.16849797446227,-8.610654365904374,6.0,3.0,3.0,2.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,13,27
1416627800020650414,682933981,3.0,3.0,41.134161909095184,-8.612476506353511,2.0,1.0,1.0,2.0,31,2.0,2.0,31.0,1125.0,2.0,573.5,,3,7
1416647504909833536,688612449,4.0,4.0,41.13953,-8.60863,4.0,1.0,2.0,1.0,1125,1.0,,3.0,1125.0,4.1,194.1,,5,28
1416647543417284450,688612449,4.0,4.0,41.13848685139038,-8.607945435320486,2.0,1.0,1.0,1.0,1125,1.0,,3.0,1125.0,4.1,192.5,,5,30
1416647558714878171,688612449,4.0,4.0,41.13975,-8.60994,2.0,1.0,1.0,1.0,1125,1.0,,3.0,1125.0,4.0,187.6,,9,29
1416658942784685595,71810730,25.0,27.0,,-8.6406073,,,,,31,,4.0,31.0,31.0,4.0,31.0,,0,1
1417182867615701431,270453055,2.0,2.0,,,6.0,3.0,4.0,,28,2.0,4.0,28.0,28.0,4.0,28.0,,2,2
1417261367474824173,694559787,1.0,1.0,41.16367705422302,-8.629733512950112,4.0,2.0,2.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,25,39
1417263680990907684,694559921,1.0,1.0,41.130868694548646,-8.609826678526902,2.0,0.0,1.0,2.0,270,2.0,2.0,270.0,270.0,2.0,270.0,,11,26
1417357823634071123,682874911,15.0,15.0,41.14208682852603,-8.611742067698783,2.0,0.0,1.0,1.0,1125,1.0,,1.0,1125.0,3.8,241.9,,7,34
1417361350037383534,165383776,3.0,3.0,,,5.0,3.0,3.0,1.0,31,1.0,1.0,31.0,31.0,1.0,31.0,,22,37
1417365276814177582,483580826,2.0,3.0,41.1487324,-8.6019776,1.0,1.0,1.0,1.0,365,1.0,3.0,9.0,365.0,1.1,131.6,,27,57
1417383371890945473,682874911,15.0,15.0,41.14362872625709,-8.611969257841388,2.0,0.0,1.0,1.0,1125,1.0,,1.0,1125.0,3.8,206.9,,11,41
1417414132641260115,694599493,1.0,1.0,,,3.0,1.0,2.0,2.0,30,1.0,2.0,30.0,30.0,2.0,30.0,,12,17
1417427282875961477,694580210,1.0,1.0,41.15559,-8.59851,6.0,2.0,3.0,1.0,1125,1.0,2.0,1.0,1125.0,1.5,95.2,,5,23
1417429899016812338,116232809,1.0,2.0,,,2.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,0,4
1418011086805645707,10509773,12.0,14.0,41.1468353,-8.6018676,4.0,1.0,2.0,1.0,365,1.0,2.0,365.0,365.0,1.1,365.0,,5,16
1418015785086384823,694724800,3.0,3.0,41.1479763337238,-8.61127262748862,2.0,1.0,1.0,2.0,31,2.0,2.0,31.0,31.0,2.0,31.0,,10,40
1418214996222879219,346047837,13.0,13.0,,-8.608327305393459,1.0,1.0,1.0,,365,,,365.0,365.0,5.0,365.0,,0,0
1418226568318268049,346047837,13.0,13.0,41.1771,-8.60802,2.0,1.0,1.0,,365,,,365.0,365.0,5.0,365.0,,0,0
1418255139879092585,346047837,13.0,13.0,,-8.60906,2.0,1.0,1.0,,365,,,365.0,365.0,5.0,365.0,,0,14
1418325837242946479,694724800,3.0,3.0,41.14695805747995,-8.611658260401894,2.0,1.0,1.0,2.0,31,2.0,2.0,31.0,31.0,2.0,31.0,,9,27
1418392714773088703,694724800,3.0,3.0,41.14719,-8.61174,4.0,2.0,2.0,2.0,31,2.0,2.0,31.0,31.0,2.0,31.0,,13,21
1418709913979944349,14796796,3.0,8.0,,-8.588757429161916,1.0,2.0,2.0,,90,,,90.0,90.0,,90.0,,0,26
1418759356005623997,444283165,22.0,29.0,41.12915953729497,-8.60350274586957,6.0,3.0,4.0,1.0,365,2.0,2.0,31.0,31.0,2.0,31.0,,8,15
1418763887951304726,540389731,1.0,1.0,41.158003,-8.5964715,4.0,1.0,3.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,6,20
1418768879466779875,75279449,16.0,16.0,41.1443533,-8.6215432,,3.0,3.0,3.0,365,2.0,3.0,365.0,365.0,3.0,365.0,,4,25
1418813885732024024,2969187,2.0,2.0,41.14392069800175,-8.613707313630677,4.0,1.0,1.0,3.0,365,3.0,3.0,365.0,365.0,3.0,365.0,,14,15
1418897439199191116,694924922,1.0,1.0,41.1492786,-8.5886288,4.0,0.0,2.0,3.0,365,3.0,3.0,365.0,365.0,3.0,365.0,,0,11
1419090326107004630,109720116,2.0,4.0,,-8.61424,3.0,1.0,1.0,1.0,365,1.0,1.0,365.0,365.0,1.0,365.0,,0,0
1419405387410530985,77551200,1.0,1.0,,,4.0,1.0,2.0,2.0,15,2.0,2.0,15.0,15.0,2.0,15.0,,15,19
1419411524143638851,179432438,45.0,47.0,41.14371827399611,-8.620324045720208,4.0,2.0,2.0,3.0,365,1.0,3.0,365.0,365.0,2.9,365.0,,7,11
1419418636851784213,124407258,,,41.14615410913775,-8.590458112708761,1.0,1.0,1.0,,365,,,365.0,365.0,,365.0,,25,55
1419458709957039003,12730028,,,41.13401240683279,-8.609780030302737,6.0,3.0,4.0,1.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,20,33
1419517593381513403,690577772,11.0,11.0,41.14532547195348,-8.605343112426246,4.0,2.0,2.0,1.0,1125,1.0,1.0,15.0,1125.0,1.0,635.4,,5,35
